sector_code,sector_name,factor_value,currency_code,factor_unit
311225/US,"Refined vegetable, olive, and seed oils",0.9535953136497786,USD,kgco2e_per_usd
311224/US,Vegetable oils and by-products,1.026953275910374,USD,kgco2e_per_usd
311230/US,Breakfast cereals,0.9913291312288119,USD,kgco2e_per_usd
311300/US,"Sugar, candy, and chocolate",0.8815616960541742,USD,kgco2e_per_usd
311410/US,Frozen food,0.956363825844051,USD,kgco2e_per_usd
311420/US,Fruit and vegetable preservation,0.7754407092367093,USD,kgco2e_per_usd
311513/US,Cheese,1.703365092485016,USD,kgco2e_per_usd
311514/US,"Dry, condensed, and evaporated dairy",1.308213552791337,USD,kgco2e_per_usd
31151A/US,Fluid milk and butter,1.588428422751911,USD,kgco2e_per_usd
311520/US,Ice cream and frozen desserts,0.8984019685255582,USD,kgco2e_per_usd
311615/US,Packaged poultry,0.7625968404175815,USD,kgco2e_per_usd
31161A/US,Packaged meat (except poultry),2.095292900252675,USD,kgco2e_per_usd
311700/US,Seafood,0.876120318384131,USD,kgco2e_per_usd
311810/US,Bread and other baked goods,0.5395819542056073,USD,kgco2e_per_usd
3118A0/US,"Cookies, crackers, pastas, and tortillas",0.7337958582415223,USD,kgco2e_per_usd
311910/US,Snack foods,0.674785312869377,USD,kgco2e_per_usd
311920/US,Coffee and tea,0.636828897777406,USD,kgco2e_per_usd
311930/US,Flavored drink concentrates,0.3806961162763766,USD,kgco2e_per_usd
311940/US,Seasonings and dressings,0.6564600176883019,USD,kgco2e_per_usd
311990/US,All other foods,1.064164525284226,USD,kgco2e_per_usd
312110/US,"Soft drinks, bottled water, and ice",0.4613620690549866,USD,kgco2e_per_usd
312120/US,Breweries and beer,0.551337736994288,USD,kgco2e_per_usd
312130/US,Wineries and wine,0.3448261468180901,USD,kgco2e_per_usd
312140/US,Distilleries and spirits,0.5936622182350333,USD,kgco2e_per_usd
312200/US,Tobacco products,0.1721138573853343,USD,kgco2e_per_usd
313100/US,"Fiber, yarn, and thread",1.065172816228133,USD,kgco2e_per_usd
313200/US,Fabric,0.7055104381150507,USD,kgco2e_per_usd
313300/US,Finished and coated fabric,0.6343695318884816,USD,kgco2e_per_usd
314110/US,Carpets and rugs,0.5951606465032976,USD,kgco2e_per_usd
314120/US,Curtains and linens,0.436068733997569,USD,kgco2e_per_usd
314900/US,Other textiles,0.4374532780599757,USD,kgco2e_per_usd
315000/US,Clothing,0.1398179757287818,USD,kgco2e_per_usd
316000/US,Leather,0.4831247465700025,USD,kgco2e_per_usd
322110/US,Wood pulp,1.457676180617631,USD,kgco2e_per_usd
322120/US,Paper,1.245452532734796,USD,kgco2e_per_usd
322130/US,Cardboard,1.679312401012547,USD,kgco2e_per_usd
322210/US,Cardboard containers,0.7862260886867024,USD,kgco2e_per_usd
322220/US,Paper bags and coated paper,0.5707763228578121,USD,kgco2e_per_usd
322230/US,Stationery,0.7339981257944387,USD,kgco2e_per_usd
322291/US,"Sanitary paper (tissues, napkins, diapers, etc.)",0.8871783547926526,USD,kgco2e_per_usd
322299/US,All other converted paper products,0.6753098097846342,USD,kgco2e_per_usd
323110/US,"Books, newspapers, magazines, and other print media",0.3352372296594377,USD,kgco2e_per_usd
323120/US,Printing support,0.2624855910844411,USD,kgco2e_per_usd
324110/US,"Gasoline, fuels, and by-products of petroleum refining",0.9171408720145141,USD,kgco2e_per_usd
324121/US,Asphalt pavement,2.000762750581782,USD,kgco2e_per_usd
324122/US,Asphalt shingles,1.080957640929243,USD,kgco2e_per_usd
324190/US,Other petroleum and coal products,1.227470562458274,USD,kgco2e_per_usd
325110/US,Petrochemicals,1.90966537285243,USD,kgco2e_per_usd
325120/US,Compressed Gases,2.516658506439538,USD,kgco2e_per_usd
325130/US,Synthetic dyes and pigments,0.6282140745589213,USD,kgco2e_per_usd
325180/US,Other basic inorganic chemicals,1.820891508901417,USD,kgco2e_per_usd
325190/US,Other basic organic chemicals,2.045786487021691,USD,kgco2e_per_usd
325211/US,Plastics,1.615292607340901,USD,kgco2e_per_usd
3252A0/US,Synthetic rubber and artificial and synthetic fibers,1.245656983587108,USD,kgco2e_per_usd
325411/US,Medicinal and botanical ingredients,0.2374657960550419,USD,kgco2e_per_usd
325412/US,"Pharmaceutical products (pills, powders, solutions, etc.)",0.100056166822997,USD,kgco2e_per_usd
325413/US,"Blood sugar, pregnancy, and other diagnostic test kits",0.1958707212169338,USD,kgco2e_per_usd
325414/US,Vaccines and other biological medical products,0.1757056813036509,USD,kgco2e_per_usd
325310/US,Fertilizers,4.134417085533708,USD,kgco2e_per_usd
325320/US,Pesticides,1.007120599351309,USD,kgco2e_per_usd
325510/US,Paints and coatings,0.5764486338497813,USD,kgco2e_per_usd
325520/US,Adhesives,0.7332043585240402,USD,kgco2e_per_usd
325610/US,Soap and cleaning compounds,0.6409808657400424,USD,kgco2e_per_usd
325620/US,Toiletries,0.2970074566866176,USD,kgco2e_per_usd
325910/US,Ink and ink cartridges,0.5246730655216157,USD,kgco2e_per_usd
3259A0/US,"Chemicals (except basic chemicals, agrichemicals, polymers, paints, pharmaceuticals,soaps, cleaning compounds)",0.7089005103601151,USD,kgco2e_per_usd
326110/US,"Plastic bags, films, and sheets",0.7901848715797192,USD,kgco2e_per_usd
326120/US,"Plastic pipe, fittings, and sausage casings",0.7218284190610661,USD,kgco2e_per_usd
326130/US,Laminated plastic plates and shapes,0.5968314421928061,USD,kgco2e_per_usd
326140/US,Polystyrene foam products,0.7994069421636584,USD,kgco2e_per_usd
326150/US,Urethane and other foam products,0.7497706911539488,USD,kgco2e_per_usd
326160/US,Plastic bottles,0.8146622070749369,USD,kgco2e_per_usd
326190/US,Other plastic products,0.6176642666770634,USD,kgco2e_per_usd
326210/US,Rubber tires,0.6094825572295149,USD,kgco2e_per_usd
326220/US,Rubber and plastic belts and hoses,0.4465754855189692,USD,kgco2e_per_usd
326290/US,Other rubber products,0.5452781659565139,USD,kgco2e_per_usd
423100/US,Motor vehicle and motor vehicle parts and supplies,0.1562140509010737,USD,kgco2e_per_usd
423400/US,Professional and commercial equipment and supplies,0.08680406876950161,USD,kgco2e_per_usd
423600/US,Household appliances and electrical and electronic goods,0.1177795406373108,USD,kgco2e_per_usd
423800/US,"Machinery, equipment, and supplies",0.1527580632393734,USD,kgco2e_per_usd
423A00/US,Other durable goods merchant wholesalers,0.1537326127339224,USD,kgco2e_per_usd
424200/US,Drugs and druggists sundries,0.1246461149170367,USD,kgco2e_per_usd
424400/US,Grocery and related product wholesalers,0.1917228102491856,USD,kgco2e_per_usd
424700/US,Petroleum and petroleum products,0.1122533011015201,USD,kgco2e_per_usd
424A00/US,Other nondurable goods merchant wholesalers,0.1616728155615674,USD,kgco2e_per_usd
425000/US,Wholesale electronic markets and agents and brokers,0.1129608325002551,USD,kgco2e_per_usd
4200ID/US,Customs duties,0.0,USD,kgco2e_per_usd
441000/US,Vehicles and parts sales,0.1295720981939062,USD,kgco2e_per_usd
445000/US,Food and beverage stores,0.2292747174435403,USD,kgco2e_per_usd
452000/US,General merchandise stores,0.2011333520177264,USD,kgco2e_per_usd
444000/US,Building material and garden equipment and supplies dealers,0.1347041412631111,USD,kgco2e_per_usd
446000/US,Health and personal care stores,0.1364237224279161,USD,kgco2e_per_usd
447000/US,Gasoline stations,0.2731114726400957,USD,kgco2e_per_usd
448000/US,Clothing and clothing accessories stores,0.1515411797386268,USD,kgco2e_per_usd
454000/US,Nonstore retailers,0.1073532812192394,USD,kgco2e_per_usd
4B0000/US,Other retail,0.1280820837890462,USD,kgco2e_per_usd
481000/US,Air transport,0.760363267004879,USD,kgco2e_per_usd
482000/US,Rail transport,0.5616144656427602,USD,kgco2e_per_usd
483000/US,"Water transport (boats, ships, ferries)",0.9380433177447248,USD,kgco2e_per_usd
484000/US,Truck transport,0.8606978976823281,USD,kgco2e_per_usd
485000/US,Passenger ground transport,0.5638192180023799,USD,kgco2e_per_usd
486000/US,Pipeline transport,2.165237174845453,USD,kgco2e_per_usd
48A000/US,Scenic and sightseeing transportation and support activities for transportation,0.2172012076115404,USD,kgco2e_per_usd
